iter	Passed	Remaining
701	21467	9113
702	21500	9083
703	21534	9054
704	21566	9024
705	21602	8996
706	21634	8965
707	21671	8937
708	21705	8908
709	21739	8879
710	21770	8849
711	21806	8820
712	21836	8789
713	21871	8760
714	21902	8730
715	21935	8700
716	21965	8669
717	22004	8642
718	22040	8613
719	22080	8586
720	22128	8562
721	22170	8536
722	22204	8507
723	22244	8479
724	22303	8459
725	22336	8430
726	22365	8398
727	22398	8368
728	22430	8338
729	22462	8307
730	22491	8276
731	22525	8247
732	22556	8216
733	22590	8186
734	22621	8155
735	22656	8126
736	22688	8096
737	22722	8066
738	22753	8036
739	22787	8006
740	22818	7975
741	22852	7945
742	22886	7916
743	22920	7886
744	22953	7856
745	22991	7828
746	23034	7801
747	23073	7773
748	23103	7742
749	23138	7712
750	23166	7681
751	23200	7651
752	23229	7619
753	23265	7590
754	23298	7560
755	23332	7530
756	23364	7500
757	23401	7471
758	23431	7440
759	23466	7410
760	23499	7380
761	23533	7350
762	23565	7319
763	23602	7290
764	23633	7260
765	23668	7230
766	23715	7204
767	23750	7174
768	23780	7143
769	23814	7113
770	23846	7082
771	23879	7052
772	23910	7021
773	23945	6991
774	23975	6960
775	24019	6933
776	24054	6903
777	24093	6874
778	24128	6845
779	24163	6815
780	24193	6784
781	24229	6754
782	24260	6723
783	24294	6693
784	24325	6662
785	24359	6632
786	24390	6601
787	24425	6571
788	24455	6540
789	24490	6510
790	24522	6479
791	24558	6449
792	24591	6419
793	24625	6389
794	24658	6358
795	24693	6328
796	24725	6297
797	24759	6267
798	24791	6236
799	24825	6206
800	24857	6175
801	24892	6145
802	24923	6114
803	24957	6084
804	24988	6053
805	25029	6024
806	25063	5994
807	25100	5964
808	25131	5933
809	25167	5903
810	25198	5872
811	25230	5841
812	25259	5810
813	25292	5779
814	25324	5748
815	25358	5718
816	25389	5686
817	25425	5657
818	25456	5625
819	25489	5595
820	25522	5564
821	25555	5533
822	25586	5502
823	25621	5472
824	25652	5441
825	25685	5410
826	25715	5379
827	25752	5349
828	25782	5318
829	25816	5287
830	25846	5256
831	25881	5226
832	25913	5195
833	25948	5164
834	25982	5134
835	26023	5105
836	26057	5074
837	26099	5045
838	26128	5013
839	26163	4983
840	26195	4952
841	26227	4921
842	26257	4890
843	26291	4859
844	26323	4828
845	26357	4797
846	26390	4767
847	26427	4737
848	26458	4705
849	26495	4675
850	26527	4644
851	26562	4614
852	26594	4583
853	26627	4552
854	26659	4521
855	26693	4490
856	26723	4459
857	26755	4428
858	26786	4396
859	26820	4366
860	26849	4334
861	26882	4303
862	26913	4272
863	26947	4241
864	26981	4211
865	27025	4181
866	27063	4151
867	27097	4120
868	27129	4089
869	27163	4058
870	27192	4027
871	27227	3996
872	27257	3965
873	27291	3934
874	27321	3903
875	27355	3872
876	27385	3840
877	27419	3810
878	27449	3778
879	27483	3747
880	27514	3716
881	27548	3685
882	27579	3654
883	27614	3623
884	27646	3592
885	27680	3561
886	27710	3530
887	27744	3499
888	27776	3468
889	27811	3437
890	27843	3406
891	27878	3375
892	27909	3344
893	27943	3313
894	27975	3282
895	28015	3251
896	28047	3220
897	28082	3189
898	28112	3158
899	28147	3127
900	28179	3096
901	28214	3065
902	28245	3034
903	28280	3003
904	28313	2972
905	28347	2941
906	28378	2909
907	28401	2877
908	28437	2846
909	28467	2815
910	28502	2784
911	28532	2753
912	28565	2722
913	28597	2690
914	28631	2659
915	28662	2628
916	28698	2597
917	28729	2566
918	28764	2535
919	28795	2503
920	28830	2472
921	28861	2441
922	28896	2410
923	28926	2379
924	28960	2348
925	28998	2317
926	29034	2286
927	29065	2255
928	29099	2223
929	29130	2192
930	29164	2161
931	29194	2130
932	29227	2098
933	29259	2067
934	29294	2036
935	29325	2005
936	29360	1974
937	29391	1942
938	29427	1911
939	29459	1880
940	29493	1849
941	29523	1817
942	29557	1786
943	29589	1755
944	29623	1724
945	29654	1692
946	29689	1661
947	29720	1630
948	29755	1599
949	29784	1567
950	29818	1536
951	29847	1504
952	29880	1473
953	29911	1442
954	29944	1411
955	29978	1379
956	30016	1348
957	30047	1317
958	30080	1286
959	30110	1254
960	30143	1223
961	30175	1191
962	30208	1160
963	30240	1129
964	30273	1098
965	30304	1066
966	30338	1035
967	30369	1003
968	30403	972
969	30433	941
970	30466	909
971	30495	878
972	30529	847
973	30561	815
974	30595	784
975	30628	753
976	30663	721
977	30693	690
978	30726	659
979	30758	627
980	30791	596
981	30823	564
982	30857	533
983	30890	502
984	30925	470
985	30955	439
986	30998	408
987	31029	376
988	31064	345
989	31094	314
990	31126	282
991	31155	251
992	31191	219
993	31221	188
994	31255	157
995	31287	125
996	31322	94
997	31354	62
998	31388	31
999	31420	0
